date,recovered,deaths
2021-06-15,303,0
2021-06-14,238,0
2021-06-13,171,0
2021-06-12,23,0
2021-06-11,96,0
2021-06-10,72,0
2021-06-09,87,0
2021-06-08,40,0
2021-06-07,0,0
2021-06-06,0,0
2021-06-05,0,0
